"Teryt";"Kod kraju";"Województwo";"Kod gm.";"Gmina";"Typ gminy";"Okręg do Sejmu nr";"Okręg do Senatu nr";"Nr obwodu";"Adres obwodu";"Typ obwodu";"Przystosowany dla niepełnosprawnych";"Granice obwodu"
"140000";"IE";"mazowieckie";"149901";"Zagranica";;"";"44";"96";"Galway I, Holy Trinity National School, Mervue, Walter Macken Road , Galway ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Irlandii"
"140000";"IE";"mazowieckie";"149901";"Zagranica";;"";"44";"97";"Galway II, Holy Trinity National School, Mervue, Walter Macken Road , Galway ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Irlandii"
"140000";"IS";"mazowieckie";"149901";"Zagranica";;"";"44";"98";"Reykjavik, Konsulat Generalny RP, Skúlatún 2 , Reykjavik 105 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Islandii"
"140000";"IL";"mazowieckie";"149901";"Zagranica";;"";"44";"99";"Tel Awiw, Ambasada RP, Soutine Street 16 , Tel Awiw 64-684 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Państwo Izrael"
"140000";"JP";"mazowieckie";"149901";"Zagranica";;"";"44";"100";"Tokio, Ambasada RP, Meguro-ku, Mita 2-13-5 , Tokio 153-0062 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Japonia"
"140000";"JO";"mazowieckie";"149901";"Zagranica";;"";"44";"101";"Amman, Ambasada RP, Mahmoud Seif Al -Din Al - Irani Street 3 , Amman 11194 Rabiah";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Jordańskie Królestwo Haszymidzkie"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"102";"Ottawa, Ambasada RP, Daly Avenue 443 , K1N6H3 Ontario";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"103";"Montreal, Konsulat Generalny RP, Avenue des Pins Ouest 1500 , H3G 1B4 Quebec";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"104";"Toronto I, Konsulat Generalny RP, Lakeshore Blvd. West 2603 , Toronto M8V 1G5 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"105";"Toronto II, Konsulat Generalny RP, Lakeshore Blvd. West 2603 , Toronto M8V 1G5 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"106";"Vancouver, Konsulat Generalny RP, West Hastings Street 1600-1177 , Vancouver BC V6E 2K3 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"107";"Edmonton, Konsulat Honorowy RP, Avenue Edmonton 4990-92 nd 107, Edmonton T6B 2V4 Alberta";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"CA";"mazowieckie";"149901";"Zagranica";;"";"44";"108";"Calgary, Konsulat Honorowy RP, 29th Street S.E. 6224 , Calgary T2C 1W3 Alberta";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Kanada"
"140000";"QA";"mazowieckie";"149901";"Zagranica";;"";"44";"109";"Doha, Ambasada RP, Al. Quataifiya 66, Str. No. 519 Saha 49, Doha ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Państwo Kataru"
"140000";"KZ";"mazowieckie";"149901";"Zagranica";;"";"44";"110";"Astana, Ambasada RP, Business Center ""Isker"", Saryarka 15 , Astana 010000 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Kazachstanu"
"140000";"KZ";"mazowieckie";"149901";"Zagranica";;"";"44";"111";"Ałmaty, Konsulat Generalny RP, Dżarkentskaya-Iskanderova 9-11 , Ałmaty 050059 ";"Oddział zewnętrzny zakładu karnego i aresztu śledczego";"Nie";"Republika Kazachstanu"
